Image_ID,Image_Width,Image_Height,Total_Attention_Intensity,Max_Saliency_Peak,Attention_Density,Text_Count,Text_Area_Ratio,Attention_Ratio,Avg_Text_Saliency,Clutter_Index,Dominant_Quadrant
413,720,720,15993657.0,229.0,69537.64,4,0.15751,3.64753,79.416,19.854,Q1_TopLeft
619,720,720,11103436.0,243.0,45505.89,9,0.03902,2.07782,42.708,4.745,Q4_BottomRight
252,720,720,7871507.0,198.0,39555.31,6,0.18907,7.12838,50.141,8.357,Q3_BottomLeft
61,720,720,11790607.0,247.0,47542.77,4,0.04185,10.73025,173.429,43.357,Q2_TopRight
621,720,720,10231740.0,239.0,42632.25,5,0.05082,9.01818,126.462,25.292,Q4_BottomRight
482,720,720,13279643.0,225.0,58759.48,2,0.12304,2.62044,55.968,27.984,Q4_BottomRight
103,720,720,8856039.0,207.0,42577.11,23,0.20593,4.17799,43.141,1.876,Q3_BottomLeft
945,720,720,7269786.0,223.0,32454.4,18,0.13444,2.90693,32.447,1.803,Q4_BottomRight
384,720,720,12690641.0,245.0,51587.97,6,0.0894,5.1871,92.396,15.399,Q2_TopRight
133,720,720,10963104.0,222.0,49161.9,7,0.13119,2.23871,40.726,5.818,Q3_BottomLeft
318,720,720,10523588.0,235.0,44591.47,1,0.01376,5.5775,106.515,106.515,Q4_BottomRight
115,720,720,10544024.0,234.0,44868.19,13,0.09351,4.22116,65.982,5.076,Q4_BottomRight
498,720,720,14177976.0,237.0,59571.33,4,0.11606,6.55608,109.011,27.253,Q2_TopRight
641,720,720,10124057.0,210.0,47981.31,3,0.04535,2.72833,49.41,16.47,Q1_TopLeft
210,720,720,9565773.0,204.0,46662.31,10,0.13585,2.5408,38.769,3.877,Q1_TopLeft
194,720,720,11131492.0,216.0,51297.2,10,0.16711,2.98087,48.089,4.809,Q1_TopLeft
797,720,720,12229900.0,242.0,50328.81,2,0.00683,1.383,32.542,16.271,Q2_TopRight
329,720,720,15685599.0,241.0,64816.52,12,0.08511,6.7286,136.863,11.405,Q4_BottomRight
618,720,720,12454664.0,228.0,54387.18,9,0.12954,3.66694,65.478,7.275,Q3_BottomLeft
29,720,720,10791244.0,217.0,49501.12,13,0.13187,6.05438,75.625,5.817,Q4_BottomRight
495,720,720,10311191.0,205.0,50054.33,10,0.15878,3.32829,48.333,4.833,Q3_BottomLeft
324,720,720,9595019.0,241.0,39648.84,4,0.08746,4.81248,66.8,16.7,Q4_BottomRight
966,720,720,16561227.0,216.0,76319.02,10,0.05906,3.91939,106.798,10.68,Q3_BottomLeft
442,720,720,12667811.0,245.0,51495.17,11,0.18945,6.42419,77.423,7.038,Q3_BottomLeft
774,720,720,8450772.0,205.0,41023.17,1,0.02451,2.93087,45.619,45.619,Q2_TopRight
300,720,720,9656097.0,248.0,38779.51,10,0.13529,6.86027,71.275,7.127,Q2_TopRight
576,720,720,9979541.0,245.0,40567.24,0,0.0,,,,NoText
586,720,720,13061885.0,208.0,62497.06,8,0.22723,1.50645,34.04,4.255,Q3_BottomLeft
287,720,720,11665196.0,226.0,51388.53,0,0.0,,,,NoText
71,720,720,11174750.0,202.0,55048.03,18,0.11801,6.22666,83.018,4.612,Q1_TopLeft
509,720,720,9989292.0,245.0,40606.88,4,0.00924,2.22571,42.408,10.602,Q4_BottomRight
145,720,720,8707899.0,201.0,43108.41,13,0.20495,4.18548,42.536,3.272,Q1_TopLeft
551,720,720,14975975.0,225.0,66265.38,7,0.03597,2.0478,57.01,8.144,Q2_TopRight
291,720,720,10995069.0,219.0,49977.59,2,0.14241,3.10257,50.641,25.321,Q4_BottomRight
123,720,720,10087053.0,186.0,53941.46,14,0.26774,3.21977,39.296,2.807,Q4_BottomRight
350,720,720,10647714.0,230.0,46094.0,8,0.05281,6.23302,100.304,12.538,Q4_BottomRight
954,720,720,13279011.0,208.0,63535.94,5,0.09091,4.31958,84.997,16.999,Q4_BottomRight
47,720,720,13073504.0,239.0,54472.93,9,0.1693,5.46537,78.492,8.721,Q2_TopRight
562,720,720,10862909.0,227.0,47644.34,2,0.01055,0.44091,9.294,4.647,Q3_BottomLeft
856,720,720,13197927.0,227.0,57885.64,6,0.11282,4.09544,77.278,12.88,Q4_BottomRight
601,720,720,9016488.0,229.0,39202.12,18,0.06277,9.27379,106.163,5.898,Q3_BottomLeft
934,720,720,11450188.0,242.0,47120.12,3,0.0079,3.29867,71.56,23.853,Q1_TopLeft
481,720,720,12105473.0,218.0,55276.13,10,0.11716,1.57647,34.484,3.448,Q3_BottomLeft
